modality,feature,bin_idx,time_label,cohens_d,abs_cohens_d,p_value,significant,n_invest,n_keep,significant_bonferroni
eeg,eeg_Fp2,2,-1.0s to -0.5s,-0.10389412557523475,0.10389412557523475,2.2193861402817884e-06,True,5608,3300,True
eeg,eeg_Fp2,3,-0.5s to 0.0s,-0.05930062502396078,0.05930062502396078,0.006886758672571043,True,5608,3300,False
eeg,eeg_O1,0,-2.0s to -1.5s,-0.06873554067642276,0.06873554067642276,0.001736255311162107,True,5608,3300,False
eeg,eeg_O1,1,-1.5s to -1.0s,-0.20650160677641408,0.20650160677641408,6.073170977116118e-21,True,5608,3300,True
eeg,eeg_O1,2,-1.0s to -0.5s,-0.15394869825343846,0.15394869825343846,2.4337816410416904e-12,True,5608,3300,True
eeg,eeg_O1,3,-0.5s to 0.0s,-0.09693770512028106,0.09693770512028106,1.0061704356608211e-05,True,5608,3300,True
eeg,eeg_P3,0,-2.0s to -1.5s,-0.04784176185515062,0.04784176185515062,0.02923834337756548,True,5608,3300,False
eeg,eeg_P3,1,-1.5s to -1.0s,-0.19961268481246314,0.19961268481246314,1.1162543736492868e-19,True,5608,3300,True
eeg,eeg_P3,2,-1.0s to -0.5s,-0.11778871015457666,0.11778871015457666,8.1272805842222e-08,True,5608,3300,True
eeg,eeg_P3,3,-0.5s to 0.0s,-0.06360189497627691,0.06360189497627691,0.003753273943224801,True,5608,3300,False
eeg,eeg_Pz,0,-2.0s to -1.5s,-0.060240967447361154,0.060240967447361154,0.006049180025044257,True,5608,3300,False
eeg,eeg_Pz,1,-1.5s to -1.0s,-0.16190624428436615,0.16190624428436615,1.7297691666276941e-13,True,5608,3300,True
eeg,eeg_Pz,2,-1.0s to -0.5s,0.0033341052216178248,0.0033341052216178248,0.8792161629153974,False,5608,3300,False
eeg,eeg_Pz,3,-0.5s to 0.0s,-0.0532039783358734,0.0532039783358734,0.015327379910321423,True,5608,3300,False
eeg,eeg_F3,0,-2.0s to -1.5s,-0.049687759690944064,0.049687759690944064,0.023551948402186763,True,5608,3300,False
eeg,eeg_F3,1,-1.5s to -1.0s,-0.11677636606261135,0.11677636606261135,1.0477027423634061e-07,True,5608,3300,True
