Method,Accuracy,F1-Score,analysis_type,time_period,class_weighting,subgroup,file_source,subject_id,accuracy,Modality,Average,Weighted,Stacking,Visit,N_subjects,N_trials,F1_Score,Mean_Subject_Acc,Std_Subject_Acc,f1_score,Weight,feature,mean_abs_shap
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0824_1000_U9TEJGM,0.7807017543859649,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0824_1600_539136F,0.6564885496183206,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0824_1600_9M4VCHG,0.6015625,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0824_1600_U9TEJGM,0.6528925619834711,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0825_1000_539136F,0.8378378378378378,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0825_1000_9M4VCHG,0.5555555555555556,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0825_1300_539136F,0.5887096774193549,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0825_1300_9M4VCHG,0.6470588235294118,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0825_1300_U9TEJGM,0.6067415730337079,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0826_1000_539136F,0.7878787878787878,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0826_1000_9M4VCHG,0.5511811023622047,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0826_1300_539136F,0.6212121212121212,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0826_1300_9M4VCHG,0.7024793388429752,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0826_1300_U9TEJGM,0.5256410256410257,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0827_1000_539136F,0.71875,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0827_1000_9M4VCHG,0.7022900763358778,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0827_1000_U9TEJGM,0.7213114754098361,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0828_1300_9M4VCHG,0.3893805309734513,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0828_1300_U9TEJGM,0.7972972972972973,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0830_1300_539136F,0.7619047619047619,,,,,,,,,,,,,,
,,,late_fusion_subject,POST,unbalanced,none,late_fusion_model_POST_subject_accuracies.csv,0830_1300_9M4VCHG,0.9236641221374046,,,,,,,,,,,,,,
