trial_id,fz_pz_theta_coh,f3_p3_theta_coh,f4_p4_theta_coh,mean_fp_theta_coh
64_0811_1000_U9TEJGM,0.9852946167648762,0.8572738489384429,0.40252512955120806,0.7483645317515091
65_0811_1000_U9TEJGM,0.9861074803922727,0.8585560020662312,0.14306748622403065,0.6625769895608449
66_0811_1000_U9TEJGM,0.9913423865007788,0.9141419196017843,0.2862173491030425,0.7305672184018684
67_0811_1000_U9TEJGM,0.9764581161605367,0.8293969687450796,0.208790707269909,0.6715485973918418
68_0811_1000_U9TEJGM,0.9790987829257998,0.8676183053532958,0.09641073793059955,0.6477092754032318
69_0811_1000_U9TEJGM,0.9833030449555787,0.8721931077374805,0.3458052376539804,0.7337671301156798
70_0811_1000_U9TEJGM,0.9735487983235404,0.9242267779677107,0.4182982284689624,0.7720246015867378
71_0811_1000_U9TEJGM,0.9904486806150258,0.8873440019338957,0.3809951890381987,0.75292929052904
72_0811_1000_U9TEJGM,0.9887021240532642,0.9213316836465474,0.31205004939993636,0.7406946190332494
73_0811_1000_U9TEJGM,0.989156127240388,0.8022329228053073,0.18149765806127752,0.6576289027023242
75_0811_1000_U9TEJGM,0.9706008954427019,0.8326699435984989,0.29058565828617583,0.6979521657757922
76_0811_1000_U9TEJGM,0.9760787376354972,0.9497016357035575,0.20101935602622015,0.7089332431217583
77_0811_1000_U9TEJGM,0.9831223197521789,0.8981691756075985,0.18619119595003522,0.6891608971032709
78_0811_1000_U9TEJGM,0.9813389273306438,0.8797578886065854,0.5480383161980286,0.8030450440450859
79_0811_1000_U9TEJGM,0.9754811749696232,0.8897055661905391,0.26118420802260917,0.708790316394257
80_0811_1000_U9TEJGM,0.9780603759028447,0.8909500146850929,0.5298425608673024,0.79961765048508
81_0811_1000_U9TEJGM,0.9925699112174554,0.8454485822380787,0.2465324097972336,0.6948503010842559
82_0811_1000_U9TEJGM,0.9828285552903768,0.8092812826238429,0.20724229222136814,0.666450710045196
83_0811_1000_U9TEJGM,0.990564432575688,0.8925768251270231,0.4024387728002728,0.7618600101676614
84_0811_1000_U9TEJGM,0.9871634866957734,0.9180106712661414,0.2887474476778458,0.7313072018799202
85_0811_1000_U9TEJGM,0.9856694065781829,0.6371245284672381,0.33111742989502985,0.6513037883134837
87_0811_1000_U9TEJGM,0.9863414386141276,0.9595781162477554,0.4096884701446324,0.7852026750021718
88_0811_1000_U9TEJGM,0.9765357905240393,0.9111493489926389,0.3146406403424759,0.7341085932863846
89_0811_1000_U9TEJGM,0.9826435433936896,0.8745428019846968,0.4063384416178469,0.7545082623320778
90_0811_1000_U9TEJGM,0.9735170379910049,0.9440353977165475,0.30586187081069593,0.7411381021727493
91_0811_1000_U9TEJGM,0.9913560025225173,0.8484050250402353,0.22935611546056012,0.6897057143411042
92_0811_1000_U9TEJGM,0.9821700540968158,0.866231222330856,0.3802524348509036,0.7428845704261918
93_0811_1000_U9TEJGM,0.9711952782118706,0.8003421574514334,0.15896398315494611,0.6435004729394167
94_0811_1000_U9TEJGM,0.9797408206947393,0.8653567433444925,0.33569893393706307,0.7269321659920983
95_0811_1000_U9TEJGM,0.9759328419657476,0.6983975124578793,0.16852195145180815,0.6142841019584783
96_0811_1000_U9TEJGM,0.9776434999464992,0.9213379708677517,0.14356320686030824,0.6808482258915197
97_0811_1000_U9TEJGM,0.9750733793414973,0.8849994470799049,0.09107590017259032,0.6503829088646641
99_0811_1000_U9TEJGM,0.9670071199798852,0.8050020571805256,0.17806546075902477,0.6500248793064786
100_0811_1000_U9TEJGM,0.9767250998907823,0.8810628594408785,0.27095835858434303,0.7095821059720012
102_0811_1000_U9TEJGM,0.9831271688443092,0.903135822508479,0.408261039801419,0.7648413437180691
103_0811_1000_U9TEJGM,0.9857991380549141,0.8391538449983522,0.17041930511286166,0.665124096055376
104_0811_1000_U9TEJGM,0.9828395858178771,0.8977011548402606,0.1931367954414327,0.6912258453665235
105_0811_1000_U9TEJGM,0.9938116529612491,0.8745603397402647,0.2749577866984773,0.7144432597999969
106_0811_1000_U9TEJGM,0.9893788601675397,0.8969008079072309,0.16150347688922317,0.6825943816546646
108_0811_1000_U9TEJGM,0.9728231247429157,0.8922427635005618,0.15635537811973838,0.6738070887877385
