feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
gaze_acceleration_mean,0,-2.0,-1.5,-2.0s to -1.5s,309.5983844956295,294.44078454386096,15.157599951768532,0.3800407402930445,0.7039495461947385,0.016860161924874325,0.016860161924874325,False,False
gaze_acceleration_mean,1,-1.5,-1.0,-1.5s to -1.0s,326.7378930638671,280.6278270376658,46.11006602620131,1.1907479563668786,0.23387290974569355,0.05282645050259152,0.05282645050259152,False,False
gaze_acceleration_mean,2,-1.0,-0.5,-1.0s to -0.5s,343.7518009304009,272.3698093040898,71.3819916263111,1.8309686203875284,0.06723188928149454,0.08122925819819656,0.08122925819819656,False,False
gaze_acceleration_mean,3,-0.5,0.0,-0.5s to 0.0s,355.0488421803806,328.0645456096788,26.98429657070176,0.6073988528566233,0.5436449841273341,0.026946697883624266,0.026946697883624266,False,False
gaze_acceleration_std,0,-2.0,-1.5,-2.0s to -1.5s,753.4932232429917,763.162507796237,-9.669284553245348,-0.11262002861713295,0.9103414325924694,-0.004996285179859159,0.004996285179859159,False,False
gaze_acceleration_std,1,-1.5,-1.0,-1.5s to -1.0s,821.1832904713559,738.5393468311306,82.6439436402253,0.9633200722445197,0.33548612102140807,0.0427368191920699,0.0427368191920699,False,False
gaze_acceleration_std,2,-1.0,-0.5,-1.0s to -0.5s,852.7754693286124,731.116813555002,121.65865577361046,1.3998006139980665,0.16170514098438682,0.062100881595872015,0.062100881595872015,False,False
gaze_acceleration_std,3,-0.5,0.0,-0.5s to 0.0s,850.9120115991021,785.6095219225443,65.3024896765578,0.7182261892253671,0.47268929002176646,0.03186345190172955,0.03186345190172955,False,False
fixation_ratio,0,-2.0,-1.5,-2.0s to -1.5s,0.4638568856772005,0.41640965394529733,0.04744723173190318,3.6002357607143836,0.0003245170134777724,0.1597211863300818,0.1597211863300818,True,True
fixation_ratio,1,-1.5,-1.0,-1.5s to -1.0s,0.45974655374263024,0.4037217419075211,0.056024811835109156,4.224640527711823,2.4845707753758893e-05,0.18742233613344914,0.18742233613344914,True,True
fixation_ratio,2,-1.0,-0.5,-1.0s to -0.5s,0.4452866871279958,0.4056516184957913,0.039635068632204506,3.0163072916284666,0.0025861860862377603,0.1338157306840869,0.1338157306840869,True,False
fixation_ratio,3,-0.5,0.0,-0.5s to 0.0s,0.44754443960618223,0.4028199162047281,0.04472452340145411,3.3721895338962895,0.0007578187113265496,0.14960412280803698,0.14960412280803698,True,False
saccade_ratio,0,-2.0,-1.5,-2.0s to -1.5s,0.3385361155577032,0.3626761259514414,-0.024140010393738198,-2.0509617768946344,0.04038142704724368,-0.09098905457743205,0.09098905457743205,True,False
saccade_ratio,1,-1.5,-1.0,-1.5s to -1.0s,0.3439528334722032,0.37224756864444797,-0.02829473517224479,-2.3464335510270327,0.019036770108672104,-0.10409739120539671,0.10409739120539671,True,False
saccade_ratio,2,-1.0,-0.5,-1.0s to -0.5s,0.3554556512995756,0.37561762894358647,-0.020161977644010842,-1.6882269731479453,0.09150046270782679,-0.07489665479355388,0.07489665479355388,False,False
saccade_ratio,3,-0.5,0.0,-0.5s to 0.0s,0.3522692035902249,0.37872193200568766,-0.026452728415462756,-2.1855307351894613,0.028948442308377884,-0.09695908406733082,0.09695908406733082,True,False
saccade_count,0,-2.0,-1.5,-2.0s to -1.5s,3.795270690728065,4.3822341857335125,-0.5869634950054476,-4.305613423495729,1.733644241989715e-05,-0.19101462503750172,0.19101462503750172,True,True
saccade_count,1,-1.5,-1.0,-1.5s to -1.0s,3.817672682016179,4.5464333781965,-0.7287606961803212,-5.284769621741499,1.3747232543056915e-07,-0.23445399956202867,0.23445399956202867,True,True
saccade_count,2,-1.0,-0.5,-1.0s to -0.5s,3.9047915370255133,4.468371467025572,-0.563579930000059,-4.168029762255818,3.183755457974936e-05,-0.18491085099229473,0.18491085099229473,True,True
saccade_count,3,-0.5,0.0,-0.5s to 0.0s,3.9197261978842564,4.457604306864065,-0.5378781089798084,-3.880636251915334,0.00010705321665925117,-0.17216089919301572,0.17216089919301572,True,True
