subject_id,overall_acc,amb_high,amb_low,amb_medium,rt_fast,rt_slow,mean_across_amb,std_across_amb,range_across_amb,mean_across_rt,std_across_rt,device,date,time
0831_1000_539136F,0.6183206106870229,0.4651162790697674,0.8636363636363636,0.5909090909090909,0.7272727272727273,0.5862068965517241,0.6398872445384073,0.2037245913002268,0.39852008456659627,0.6567398119122256,0.09974860549653497,539136F,0831,1000
0831_1000_9M4VCHG,0.6708860759493671,0.5517241379310345,0.72,0.56,0.6,0.7222222222222222,0.6105747126436781,0.09485537732783701,0.1682758620689655,0.6611111111111111,0.08642416214502248,9M4VCHG,0831,1000
0831_1000_U9TEJGM,0.8409090909090909,0.7045454545454546,1.0,1.0,0.9098360655737704,0.6,0.9015151515151515,0.17058076135148031,0.2954545454545454,0.7549180327868852,0.21908718302337288,U9TEJGM,0831,1000
0831_1300_539136F,0.8538461538461538,0.6511627906976745,0.9090909090909092,0.9534883720930232,0.8840579710144928,0.8032786885245902,0.8379140239605357,0.16324766774491972,0.3023255813953487,0.8436683297695415,0.05711957842799389,539136F,0831,1300
0831_1300_9M4VCHG,0.8403361344537815,0.7368421052631579,0.9487179487179488,1.0,0.8113207547169812,0.9230769230769232,0.895186684660369,0.1395070484394372,0.26315789473684215,0.8671988388969523,0.07902354448674052,9M4VCHG,0831,1300
0831_1300_U9TEJGM,0.5891472868217055,0.5454545454545454,0.9767441860465116,0.3333333333333333,0.6290322580645161,0.5522388059701493,0.61851068827813,0.3278677802872216,0.6434108527131783,0.5906355320173327,0.05430117072665107,U9TEJGM,0831,1300
0901_1000_539136F,0.576,0.4285714285714285,0.7073170731707317,0.6666666666666666,0.6428571428571429,0.5217391304347826,0.6008517228029423,0.1505771852659265,0.2787456445993032,0.5822981366459627,0.08564336790768748,539136F,0901,1000
0901_1000_9M4VCHG,0.6209677419354839,0.4634146341463415,0.7073170731707317,0.5476190476190477,0.6153846153846154,0.696969696969697,0.572783584978707,0.1238831723677831,0.24390243902439018,0.6561771561771562,0.05768936443246892,9M4VCHG,0901,1000
0901_1000_U9TEJGM,0.7727272727272727,0.6363636363636364,0.9772727272727272,0.9318181818181818,0.88,0.65625,0.8484848484848485,0.185102904891979,0.34090909090909083,0.768125,0.15821514229049002,U9TEJGM,0901,1000
0901_1300_539136F,0.8706896551724138,0.5135135135135135,0.95,0.9743589743589745,0.9032258064516128,0.8703703703703703,0.8126241626241626,0.2593235917083147,0.46084546084546096,0.8867980884109916,0.02323230165188768,539136F,0901,1300
0901_1300_9M4VCHG,0.3306451612903225,0.7619047619047619,0.048780487804878,0.073170731707317,0.3018867924528302,0.2777777777777778,0.29461866047231894,0.4048653435938344,0.7131242740998839,0.289832285115304,0.017047647764455533,9M4VCHG,0901,1300
0901_1300_U9TEJGM,0.546875,0.6744186046511628,0.627906976744186,0.3095238095238095,0.6481481481481481,0.4459459459459459,0.5372831303063861,0.1986115908882076,0.3648947951273533,0.547047047047047,0.14297854834803067,U9TEJGM,0901,1300
0915_1000_539136F,0.4369747899159664,0.4634146341463415,0.5897435897435898,0.3846153846153846,0.3111111111111111,0.4864864864864865,0.47925786950177196,0.10347778126088433,0.20512820512820518,0.3987987987987988,0.12400911718106421,539136F,0915,1000
0915_1000_9M4VCHG,0.8091603053435115,0.5681818181818182,1.0,1.0,0.8526315789473684,0.6944444444444444,0.8560606060606061,0.24931034351370202,0.43181818181818177,0.7735380116959064,0.11185519550348604,9M4VCHG,0915,1000
0915_1000_U9TEJGM,0.6463414634146342,0.8888888888888888,0.76,0.3666666666666666,0.4583333333333333,0.6896551724137931,0.6718518518518518,0.2720415122038178,0.5222222222222223,0.5739942528735632,0.16356924105033646,U9TEJGM,0915,1000
0917_1030_539136F,0.6030534351145038,0.6363636363636364,0.6511627906976745,0.5681818181818182,0.6126126126126126,0.5,0.6185694150810429,0.04425987102567906,0.08298097251585623,0.5563063063063063,0.07962914202551208,539136F,0917,1030
0917_1030_9M4VCHG,0.9689922480620154,0.8837209302325582,1.0,1.0,0.9516129032258064,0.8,0.9612403100775193,0.06713375223135182,0.11627906976744184,0.8758064516129032,0.10720651198634744,9M4VCHG,0917,1030
0917_1030_U9TEJGM,0.7674418604651163,0.6666666666666666,0.8636363636363636,0.6511627906976745,0.8235294117647058,0.782051282051282,0.7271552736669015,0.11845002525096722,0.21247357293868918,0.802790346907994,0.029329466791297193,U9TEJGM,0917,1030
